IDU,Inf,Nome,Clube,Posição,Melhor Papel,Idade,Jogos,Gls,xG,xG/90,Remt/90,Remt/90,% Remates,Ast,xA,xA/90,Ps C/90,Passes Pr/90,PC/90,% Passe,Sof/90,xGP/90,% Df,Crz Con/90,Crz T/90,Fnt/90,Cab Dec/90,Des Dec/90,Des/90,M Des,Pres C/90,Poss Con/90,Cl Med,Valor Estimado,Capacidade,Pé Esquerdo,Pé Direito,Nac,2ª Nac,Altura,Personalidade,Valor,Preço Exigido,TSB,Soc,Acl,Agi,Agr,Aer,Ant,AF,Bra,Cab,Cnt,Cmd,Cmp,Com,Cnc,Cruz,Decis,Des,Det,Eql,Exc,Fnl,Fnt,For,Imp,Imp,In Tr,Jg Mãos,Lan,LnçL,Lid,Liv,Mar,Pen,Pas,Pont,Pos,Pri,Ref,Rem Lo,Res,SB,Téc,Tr Eq,1x1,Vel,Vis
83169822,Les,João Félix - Português,Barcelona - La Liga Santander,"MO (DEC), PL (C)",Médio Ofensivo,23,5,2,"1,38","0,31","2,43","0,88",36%,2,"1,50","0,33","33,17","2,21","2,21",87%,-,-,-,"0,22","0,66","2,65","0,00","0,22","2,21",63%,"4,64","3,98",7.62,340M R$ - 500M R$,,Forte,Muito Forte,POR,,178 cm,Ambicioso,-,-,1,3,13,15,14,3,15,14,11,12,11,2,15,1,13,12,16,7,16,14,3,15,17,9,19,9,11,2,1,4,7,12,4,14,17,1,6,16,2,13,12,18,18,12,2,12,16
28122642,Prt,Bukayo Saka - Inglês,Arsenal - Premier League,MO (DE),Extremo invertido,22,11 (1),4,"1,60","0,15","2,10","0,55",26%,5,"3,68","0,34","34,56","3,19","2,46",84%,-,-,-,"1,09","5,29","3,19","0,00","0,00","3,47",79%,"6,02","7,75",7.39,Não está à venda,,Muito Forte,Bastante Forte,ENG,NGA,178 cm,Cheio de Energia,-,-,2-4,1-2,16,15-17,12,1-2,15-17,16,12,7,11-13,1-4,14,1-4,12-14,14,16,9-11,16,17,2-4,13,15,12,16,9,15,2-4,1-4,5-8,9-11,8-10,7-9,14,13,1-3,9-11,15,1-2,12,16,16,15,17,1-2,15,15
2000049413,,- -,-,,Mezzala,19,3 (4),0,"0,78","0,22","2,29","0,57",25%,0,"0,54","0,15","55,43","4,86","1,43",87%,-,-,-,"0,29","2,86","0,29","0,00","0,00","3,71",87%,"4,57","7,71",6.82,340M R$ - 410M R$,,Bastante Forte,Muito Forte,ESP,,174 cm,Decidido,-,-,3-6,1-4,14,15-19,17,2-5,13-17,14,16,6,11-14,1-5,13,1-4,12-15,14,16,11-14,16,15,1-3,10,15,8,15,6,15,1-3,1-2,5-8,9-13,8-11,9-12,9,15,2-6,8-11,15,1-2,10,14,14,17,13,1-4,12,14
29232937,,- -,-,,Médio Recuperador de Bolas,20,7,0,"1,38","0,20","1,92","0,44",23%,3,"2,34","0,35","56,25","6,07","1,48",85%,-,-,-,"0,00","0,44","1,78","0,00","0,15","3,26",81%,"6,51","13,47",7.13,680M R$,,Razoável,Muito Forte,ENG,,186 cm,Perfeccionista,-,-,3,1,16,15,18,2,15,16,18,12,10,1,15,1,13,11,14,13,20,16,1,13,16,13,16,13,17,3,4,6,14,9,13,9,15,1,11,16,3,13,16,14,16,15,3,15,15
89056845,,- -,-,,Extremo,23,4 (2),1,"1,36","0,39","2,88","0,87",30%,0,"0,10","0,03","29,42","1,15","0,87",84%,-,-,-,"0,29","1,44","2,02","0,58","0,00","1,73",100%,"4,62","3,17",6.82,280M R$ - 340M R$,,Razoável,Muito Forte,ESP,,184 cm,Bastante Determinado,-,-,1-3,1-2,17,15,8,2-5,12-14,15,10,10,7-9,1-3,12,2-4,12-14,13,13,6-9,15,12,1-3,13,15,11,14,12,12,1-3,3-5,7-9,8,7-10,5-7,12,12,1-2,5-8,14,1-4,12,12,16,15,12,1-3,16,13
67295650,,- -,-,,Avançado Interior,20,3 (7),1,"0,81","0,16","1,60","1,00",63%,1,"0,35","0,07","29,73","2,99","1,00",86%,-,-,-,"0,40","2,00","3,39","0,00","0,00","1,40",100%,"4,99","6,59",6.67,450M R$ - 670M R$,,Bastante Forte,Muito Forte,ESP,,172 cm,Cheio de Energia,-,-,1-2,1-4,15,13-17,12,1-3,10-14,14,10,10,10-13,3-6,14,1-4,11-14,13,14,6-9,14,15,1-3,13,17,11,16,7,11,2-5,1-5,8-12,11-14,8-12,6-9,13,14,1-4,7-11,15,1-4,12,14,11,16,10,1-3,15,14
43298481,Ass,- -,-,,Médio Recuperador de Bolas,23,10,1,"1,44","0,17","2,30","0,97",42%,0,"0,59","0,07","50,74","4,11","1,45",89%,-,-,-,"0,24","0,72","1,21","0,00","0,12","2,30",79%,"3,87","12,20",6.98,"890M R$ - 1,06MM R$",,Bastante Forte,Muito Forte,ITA,,181 cm,Decidido,-,-,2-4,1-2,13,15,15,3-5,15-18,14,16,9,12-14,2-4,14,2-4,14-16,12,14-16,14,16,15,3-5,10,13,15,12,11,16,1-3,1-3,10-12,14,12-14,12-14,11-14,15,2-5,14,15,1-3,13,14,14,15,17,1-3,14,14
19306929,,- -,-,,Avançado Interior,22,6 (7),3,"1,87","0,30","2,91","0,97",33%,0,"0,23","0,04","30,22","2,91","1,94",80%,-,-,-,"0,16","1,13","3,55","0,00","0,00","1,94",86%,"4,52","6,30",7.20,580M R$ - 690M R$,,Razoável,Muito Forte,BRA,ESP,174 cm,Bastante Profissional,-,-,3,2,15,17,11,3,13,12,13,12,7,2,14,2,14,12,14,6,14,15,1,17,15,13,15,9,14,3,2,8,11,8,5,12,14,2,9,15,2,12,14,16,15,12,2,15,12
37062185,,- -,-,,Extremo invertido,24,3 (1),1,"1,11","0,48","4,29","2,57",60%,2,"2,32","0,99","22,71","1,29","2,14",84%,-,-,-,"0,43","8,14","2,14","0,00","0,00","1,29",75%,"4,29","3,00",7.20,340M R$ - 400M R$,,Razoável,Muito Forte,NED,TOG,189 cm,Alegre,-,-,2-4,1-3,15,15,8,1-3,11-13,10,11,12,13-16,1-2,14,2-4,11-14,14,12,5-7,14,14,1-2,13,16,12,14,14,13,2-5,2-4,4-6,13,13-15,3-6,11,13,1-2,6-8,15,2-4,14,13,13,14,13,1-3,14,13
43161651,Les,- -,-,,Extremo invertido,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490M R$ - 600M R$,,Forte,Muito Forte,ITA,,175 cm,Perfeccionista,-,-,1,2,16,15,17,3,12,13,13,9,10,1,15,2,10,14,10,5,18,13,3,13,15,13,15,8,16,2,2,4,13,6,6,10,13,1,7,14,1,13,14,15,14,12,3,17,13
28100266,Les,- -,-,,Extremo invertido,25,8,2,"1,87","0,25","2,52","1,06",42%,2,"1,91","0,25","27,08","2,79","2,12",78%,-,-,-,"0,80","4,38","3,85","0,13","0,00","3,05",77%,"5,84","6,37",7.41,"1,02MM R$ - 1,22MM R$",,Razoável,Muito Forte,ENG,,185 cm,Cheio de Energia,-,-,2-5,1-3,18,16,14,1-3,10-12,17,13,10,4-6,1-3,12,1-3,12-14,13,12,2-5,17,15,1-2,14,15,15,18,11,13,1-2,2-4,3-5,11,11-14,1-3,16,14,1-3,3-6,14,1-4,12,15,16,15,13,1-2,17,13
59130638,JEC,- -,-,,Extremo invertido,22,8,2,"1,22","0,19","1,70","0,93",55%,2,"1,34","0,21","26,55","2,32","1,54",83%,-,-,-,"0,46","2,01","3,55","0,00","0,00","1,70",69%,"3,09","4,63",7.26,370M R$ - 550M R$,,Forte,Muito Forte,GEO,,183 cm,Persistente,-,-,1,2-4,14,15-18,11,1,9-12,16,12,10,6-8,2-4,15,1-2,10-12,13,14,4-6,15,13,1-3,13,18,9,19,9,9,2-4,1-2,2-4,9-11,10-13,2-4,16,14,1-2,3-6,16,1-4,13,11,12,17,10,1-2,13,13
19351309,Ass,- -,-,,Extremo invertido,22,9,2,"1,81","0,25","3,20","0,70",22%,0,"1,35","0,19","26,05","2,37","1,53",77%,-,-,-,"1,25","3,48","3,76","0,28","0,00","4,60",97%,"5,15","6,69",7.33,"1,18MM R$ - 1,28MM R$",,Razoável,Muito Forte,BRA,ITA,180 cm,Cheio de Energia,-,-,1,4,17,16,14,3,14,13,14,13,14,3,13,2,12,12,12,5,16,14,3,14,15,10,15,12,17,3,2,3,6,10,5,11,12,1,7,14,2,8,15,16,15,16,2,16,13
43295814,Ass,- -,-,,Extremo invertido,23,9 (1),3,"4,03","0,45","3,92","2,35",60%,4,"1,31","0,15","31,34","3,02","2,13",76%,-,-,-,"0,34","2,57","3,02","0,22","0,00","2,57",88%,"6,27","7,61",7.46,"1,13MM R$ - 1,36MM R$",,Muito Forte,Bastante Forte,SWE,MKD,186 cm,Decidido,-,-,2-5,1,13,14,7,2-5,14-16,14,8,7,10-12,1,13,2-4,11-13,16,16,6-9,15,17,1-2,13,17,16,15,13,15,1-3,2-4,4-6,6,7-10,3-5,11,17,1-2,4-7,15,1-4,11,16,15,16,15,2-4,14,16
28103590,Les,- -,-,,Médio Área-a-Área,24,10 (1),0,"1,14","0,12","1,53","0,66",43%,0,"0,96","0,10","58,11","5,24","1,64",90%,-,-,-,"0,22","0,66","0,87","0,00","0,22","1,75",67%,"3,82","8,63",6.93,350M R$ - 510M R$,,Bastante Forte,Muito Forte,ENG,,180 cm,Concentrado,-,-,1-4,1,15,13,14,2-5,13-15,15,15,9,13-15,2-4,15,3-5,11-13,12,15,10-13,18,10,1-3,14,11,11,13,9,20,1-2,4-6,5-7,12,12-15,6-8,15,15,1-2,12-15,15,1-4,12,20,17,14,18,1-3,15,12
29192705,,- -,-,,Extremo invertido,25,3 (2),0,"1,50","0,62","4,54","2,48",55%,0,"0,90","0,37","33,44","2,89","2,48",79%,-,-,-,"0,83","1,65","2,48","0,00","0,00","2,89",78%,"4,95","8,26",6.92,330M R$ - 390M R$,,Bastante Forte,Muito Forte,POR,,174 cm,Cheio de Energia,-,-,1-3,1-3,15,16,11,1-3,15-17,13,9,8,9-11,1-2,15,1-4,10-12,12,14,8-10,14,14,1-2,17,15,9,14,8,13,1-3,2-5,9-12,8,13-15,4-6,8,14,1-2,9-11,15,2-4,14,14,15,16,11,1-2,15,15
24048100,,- -,-,,Construtor de Jogo Avançado,25,11,3,"4,76","0,44","3,24","1,39",43%,3,"3,19","0,30","39,44","3,61","2,78",79%,-,-,-,"1,39","7,04","1,11","0,00","0,00","1,67",78%,"5,19","7,50",7.15,260M R$,,Razoável,Muito Forte,ESP,,179 cm,Cheio de Energia,-,-,1,2,13,14,12,1,15,13,13,8,14,3,14,3,14,13,14,10,14,15,3,13,17,10,17,8,14,1,2,4,8,14,8,13,15,3,10,16,2,13,15,16,16,16,2,12,17
14229525,,- -,-,,Médio Centro,22,10,1,"0,35","0,04","0,78","0,33",43%,2,"1,85","0,21","54,64","5,76","1,44",90%,-,-,-,"0,11","1,00","0,44","0,33","0,22","3,10",85%,"4,54","12,86",7.04,"860M R$ - 1,01MM R$",,Bastante Forte,Muito Forte,ARG,,178 cm,Ambicioso,-,-,1,2,12,14,15,1,14,17,13,7,12,2,14,1,13,12,14,14,15,16,1,12,13,13,14,10,14,2,2,8,12,9,10,13,16,4,13,15,1,16,16,17,16,15,3,12,17
85140301,Ass,- -,-,,Construtor de Jogo Avançado,25,3 (4),0,"0,32","0,09","1,45","0,58",40%,0,"0,46","0,13","42,97","3,19","2,03",85%,-,-,-,"0,87","6,39","1,16","0,00","0,00","2,32",73%,"4,06","8,71",6.66,370M R$ - 450M R$,,Bastante Forte,Muito Forte,FRA,COD,175 cm,Equilibrado,-,-,3-5,1-2,14,15,14,2-4,13-16,14,12,5,13-15,1-3,16,2-4,13-15,13,15,6-8,11,12,2-4,13,13,11,15,8,14,1-4,1-3,5-7,6,11-13,6-8,10,16,1-4,4-6,14,2-4,13,15,15,15,15,2-4,14,15
43270517,,- -,-,,Extremo invertido,24,6 (5),2,"2,87","0,44","3,85","1,39",36%,2,"1,19","0,18","30,36","2,47","2,31",84%,-,-,-,"0,46","1,23","1,54","0,46","0,00","1,85",60%,"4,47","4,47",7.23,88M R$ - 105M R$,,Muito Forte,Razoável,ITA,,189 cm,Concentrado,-,-,2-4,2-4,15,13,18,3-5,10-13,13,18,12,12-14,2-4,15,1-3,13-15,11,10,9-11,18,11,1-2,12,16,17,13,13,17,1-4,1-3,5-7,6,7-9,7-9,12,12,2-5,7-9,13,1-3,15,14,14,14,8,1-2,16,13
28108490,,- -,-,,Extremo invertido,23,9 (1),2,"1,87","0,23","3,14","1,33",42%,3,"2,03","0,25","34,31","2,54","1,93",86%,-,-,-,"0,36","2,66","4,11","0,00","0,00","2,66",81%,"5,68","6,40",7.33,320M R$ - 480M R$,,Razoável,Muito Forte,ENG,TRI,180 cm,Ambicioso,-,-,3-6,1-3,15,17,8,2-5,14-16,13,8,4,11-13,1-2,14,3-5,11-13,13,12,6-9,13,14,2-4,14,18,8,16,8,13,2-4,1-3,6-8,5,11-14,6-8,12,16,1-3,4-7,16,1-4,9,13,14,18,13,1-2,15,15
71101331,,- -,-,,Extremo invertido,22,7,1,"0,91","0,20","1,29","0,43",33%,0,"1,61","0,34","29,57","2,36","3,21",78%,-,-,-,"1,50","5,36","4,29","0,00","0,00","3,00",88%,"5,14","4,50",6.91,440M R$ - 550M R$,,Razoável,Muito Forte,UKR,,175 cm,Perfeccionista,-,-,1-2,1-3,17,15-17,6,1-3,9-11,10,12,5,8-10,1-4,12,2-5,9-11,13,12,3-5,15,12,1-2,13,14,15,16,5,13,2-4,2-5,3-6,8-10,9-11,5-7,12,13,1-2,10-12,13,3-5,10,12,12,14,11,1-3,17,12
75039726,,- -,-,,Extremo invertido,24,15 (18),4,"2,27","0,15","1,42","0,26",18%,6,"2,87","0,19","32,26","2,84","3,36",78%,-,-,-,"0,91","11,77","2,39","0,00","0,00","2,52",80%,"4,40","5,56",6.86,29M R$ - 43M R$,,Bastante Forte,Muito Forte,CHI,,165 cm,Equilibrado,-,-,2-4,1-4,15,15,14,1-2,10-12,13,10,5,12-14,1-2,11,1-3,8-10,14,11,8-10,13,10,2-4,13,14,5,15,5,13,3-5,1-3,9-12,12,12-14,7-9,15,13,1-2,7-9,15,1-3,12,13,13,15,12,1-2,11,13
83111483,,- -,-,,Extremo invertido,24,8,0,"1,42","0,23","2,29","0,49",21%,0,"0,19","0,03","28,91","2,29","2,12",83%,-,-,-,"0,00","1,47","3,27","0,16","0,00","2,45",75%,"5,39","8,17",7.00,680M R$ - 850M R$,,Bastante Forte,Muito Forte,POR,ANG,188 cm,Bastante Ambicioso,-,-,1,1,17,18,9,3,14,16,8,11,7,1,13,2,11,15,13,7,14,16,1,15,17,14,18,15,12,2,2,6,9,6,5,12,15,1,7,16,2,12,11,15,15,13,3,16,14
67276230,,- -,-,,Extremo invertido,21,6,1,"1,66","0,29","2,77","0,69",25%,1,"1,16","0,20","29,77","3,63","2,25",82%,-,-,-,"0,69","1,56","1,90","0,00","0,00","2,60",94%,"4,33","5,71",7.03,580M R$,,Forte,Muito Forte,ESP,GHA,180 cm,Bastante Determinado,-,-,3,1,15,16,9,3,13,13,13,12,8,3,13,1,12,14,13,9,15,12,1,13,14,15,12,11,13,3,2,8,11,8,9,14,14,3,12,13,3,11,14,15,14,13,1,14,14
83188780,Ass,- -,-,,Médio Recuperador de Bolas,25,4 (7),0,"0,56","0,11","1,38","0,20",14%,0,"1,08","0,21","60,13","5,50","1,77",91%,-,-,-,"0,39","0,59","1,38","0,00","0,00","3,54",82%,"5,11","12,58",6.93,175M R$ - 260M R$,,Bastante Forte,Muito Forte,POR,BRA,184 cm,Cheio de Energia,-,-,1-2,2-4,14,13,15,1,11-14,17,16,10,12-14,1-3,13,2-4,16-18,13,13-15,11,15,13,1-3,12,15,14,15,13,16,2-4,1-3,7-9,8,10-13,8-10,9-12,14,1-2,14,14,2-5,14,16,14,15,16,2-4,14,14
92074020,,- -,-,,Extremo invertido,25,3 (4),1,"0,91","0,22","1,69","0,72",43%,0,"0,44","0,11","25,09","1,69","1,21",82%,-,-,-,"0,48","5,31","2,17","0,00","0,00","2,17",82%,"3,14","6,27",6.72,260M R$ - 390M R$,,Bastante Forte,Muito Forte,USA,CRO,177 cm,Ambicioso,-,-,1,2,16,17,13,3,15,10,14,8,12,2,12,2,10,11,13,8,14,8,1,13,16,8,15,7,16,1,3,5,12,10,6,10,11,3,8,15,2,10,14,15,15,14,2,15,14
47064795,,- -,-,,Extremo invertido,24,11,9,"5,45","0,56","3,16","1,53",48%,2,"1,21","0,12","30,27","2,24","0,92",82%,-,-,-,"0,31","1,83","2,55","0,20","0,00","2,45",77%,"5,30","7,13",7.31,155M R$ - 190M R$,,Bastante Forte,Muito Forte,MKD,,182 cm,Bastante Ambicioso,-,-,1,3,14,14,14,2,13,15,13,12,10,3,14,1,11,13,13,10,13,13,2,13,15,12,14,13,15,2,2,6,9,11,8,14,16,1,11,15,1,13,13,15,15,14,1,13,12
37057982,,- -,-,,Médio Centro,25,1 (9),0,"0,50","0,13","1,82","0,78",43%,0,"0,39","0,10","51,87","4,15","2,59",83%,-,-,-,"0,00","0,26","0,26","0,52","0,00","1,82",88%,"6,74","14,78",6.70,350M R$ - 520M R$,,Muito Forte,Bastante Forte,NED,,184 cm,Profissional,-,-,1,2-4,11,12,12,1,14-17,15,11,10,11-13,2-4,12,1-3,14-16,12,16-18,12,18,15,1-2,13,11,15,7,13,15,1-3,2-4,3-5,15,15-18,10-12,14-17,15,1-2,13,14,1-3,15,16,10,14,17,1-2,12,14
48032338,Prt,- -,-,,Construtor de Jogo Recuado,25,8,1,"0,27","0,04","0,55","0,14",25%,0,"1,49","0,21","56,42","6,74","1,93",86%,-,-,-,"1,38","6,88","1,93","0,00","0,28","2,89",78%,"5,23","13,76",6.90,240M R$ - 360M R$,,Muito Forte,Razoável,ALG,FRA,175 cm,Decidido,-,-,1-3,1-2,14,14,13,2-4,16-18,13,15,7,12-15,1-3,14,1-2,13-16,12,13-15,15,15,16,1-4,8,15,12,14,8,16,1,1-3,4-7,12,12-14,12-15,14-16,15,1-3,15,16,2-4,13,14,12,15,17,1-4,13,15
18097159,,- -,-,,Defesa Lateral,24,7,2,"1,58","0,24","1,79","0,74",42%,0,"1,03","0,15","33,17","2,53","1,79",79%,-,-,-,"0,74","2,98","1,79","0,15","0,00","3,57",75%,"5,50","6,55",7.20,64M R$ - 78M R$,,Bastante Forte,Muito Forte,BEL,,180 cm,Decidido,-,-,1-3,1,14,14,14,2-5,11-13,15,14,11,5-7,1,11,2-4,12-14,13,11,12-15,16,12,1-2,8,14,10,11,11,16,1-2,2-4,9-11,10,6-9,10-12,7,13,2-4,11-14,13,1-2,12,15,14,13,18,1-3,15,13
72044918,,- -,-,,Médio Recuperador de Bolas,24,10,0,"0,67","0,07","0,61","0,20",33%,1,"0,57","0,06","52,90","3,77","1,12",88%,-,-,-,"0,20","0,61","1,43","0,10","0,00","1,94",70%,"5,10","12,13",6.85,190M R$ - 310M R$,,Bastante Forte,Muito Forte,USA,,175 cm,,-,-,-,-,9-14,14-19,11-16,-,-,12-17,12-18,5-10,-,-,-,-,-,5-10,-,12-17,10-17,11-17,-,3-9,11-16,7-14,7-14,8-15,16-20,-,-,-,8-13,-,-,-,9-14,-,11-17,8-15,-,6-11,15-20,12-17,10-15,12-17,-,10-15,9-14
